episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,success,crash,out,max_step,cost,length,takeover,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,info/pid_error,info/mean_online_episode_cost,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_td_error,info/learner/default_policy/mean_c_td_error,info/learner/default_policy/actor_loss,info/learner/default_policy/critic_loss,info/learner/default_policy/cost_critic_loss,info/learner/default_policy/alpha_loss,info/learner/default_policy/lambda_value,info/learner/default_policy/alpha_value,info/learner/default_policy/target_entropy,info/learner/default_policy/c_td_target,info/learner/default_policy/mean_q,info/learner/default_policy/mean_c_q,info/learner/default_policy/max_q,info/learner/default_policy/max_c_q,info/learner/default_policy/min_q,info/learner/default_policy/min_c_q,info/learner/default_policy/c_q_tp1,info/learner/default_policy/mean_batch_cost,info/learner/default_policy/reward_loss,info/learner/default_policy/cost_loss
nan,nan,nan,nan,0,0,100,False,0,1,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-45-46,1752522346,25.832053184509277,25.832053184509277,1607147,pouyan-XPS-15-9500,192.168.2.18,25.832053184509277,0,1,nan,nan,nan,nan,nan,nan,nan,10197_00000,0_seed=0,[],[],409.137,2502.832,0,0,100,1024,100,1,17.181081081081082,54.3162162162162,0.9748379,0.060676977,-0.7943006,0.68021774,0.0038602413,-0.0,1e-08,1.0,-2,-0.06931141,-0.26347378,0.013173991,-0.2236517,0.057069194,-0.28636396,-0.054127842,-0.07172946,0.0017007557,-0.72236955,-0.07193109
nan,nan,nan,nan,0,0,200,False,0,2,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-46-05,1752522365,18.7056884765625,44.53774166107178,1607147,pouyan-XPS-15-9500,192.168.2.18,44.53774166107178,0,2,nan,nan,nan,nan,nan,nan,nan,10197_00000,0_seed=0,[],[],49.455,20705.563,0,0,200,103424,200,51,34.52222222222222,54.20370370370371,0.31846714,0.021908682,-2.7489395,-0.9833472,0.0017874446,-0.033259176,1e-08,0.99000674,-2,-0.03407063,1.3460288,-0.040895987,1.8628821,-0.016491685,0.9874468,-0.07460491,-0.036132712,0.0017007557,-2.7057483,-0.04319124
nan,nan,nan,nan,0,0,300,False,0,3,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-46-24,1752522384,19.405455589294434,63.94319725036621,1607147,pouyan-XPS-15-9500,192.168.2.18,63.94319725036621,0,3,nan,nan,nan,nan,nan,nan,nan,10197_00000,0_seed=0,[],[],47.715,21460.608,0,0,300,205824,300,101,33.775,54.22500000000001,0.8026794,0.012297146,-2.6167479,-3.8085504,0.00012803319,-0.060442872,1e-08,0.9803949,-2,-0.029477838,1.4044927,-0.026172986,2.756806,0.0042822906,0.08332498,-0.057192724,-0.029775593,0.0,-2.5826988,-0.034048952
nan,nan,nan,nan,0,0,400,False,0,4,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-46-42,1752522402,18.19487500190735,82.13807225227356,1607147,pouyan-XPS-15-9500,192.168.2.18,82.13807225227356,0,4,nan,nan,nan,nan,nan,nan,nan,10197_00000,0_seed=0,[],[],47.404,21601.399,0,0,400,308224,400,151,32.661538461538456,54.22307692307693,1.6021507,0.010153204,-2.8167942,-10.966694,0.0004683702,-0.06309907,1e-08,0.9720935,-2,-0.023272377,1.2771311,-0.02633793,4.9258485,0.0055053425,-2.63863,-0.065587245,-0.024831392,0.0013107012,-2.784998,-0.031796057
307.74489122256864,307.74489122256864,307.74489122256864,406.0,1,0,500,False,1,5,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-47-00,1752522420,17.936829805374146,100.0749020576477,1607147,pouyan-XPS-15-9500,192.168.2.18,100.0749020576477,0,5,1.0,0.0,0.0,0.0,0.0,406.0,390.0,10197_00000,0_seed=0,[307.74489122256864],[406],45.556,22477.831,[-0.58734703],[2.41265297],500,410624,500,201,33.931999999999995,54.29599999999999,2.1386008,0.010547226,-1.7094858,-24.445137,0.00046803843,-0.049393974,0.6613648,0.9657276,-2,-0.02477334,0.6539708,-0.022209581,5.608715,0.018385358,-8.716941,-0.05737714,-0.026347516,0.0013107012,-1.6846287,-0.02485691
307.74489122256864,307.74489122256864,307.74489122256864,406.0,0,0,600,False,1,6,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-47-19,1752522439,18.743653774261475,118.81855583190918,1607147,pouyan-XPS-15-9500,192.168.2.18,118.81855583190918,0,6,1.0,0.0,0.0,0.0,0.0,406.0,390.0,10197_00000,0_seed=0,[307.74489122256864],[406],44.77,22872.446,[-0.58734703],[2.41265297],600,513024,600,251,34.04814814814815,54.30370370370369,2.9944248,0.009738928,-2.6594005,-34.0398,0.0015608857,-0.037328362,0.6613648,0.9612055,-2,-0.025916416,1.2170248,-0.03034468,11.980338,0.06834372,-15.112618,-0.06362295,-0.028607152,0.0023561064,-2.6265538,-0.032846846
307.74489122256864,307.74489122256864,307.74489122256864,406.0,0,0,700,False,1,7,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-47-39,1752522459,19.488190412521362,138.30674624443054,1607147,pouyan-XPS-15-9500,192.168.2.18,138.30674624443054,0,7,1.0,0.0,0.0,0.0,0.0,406.0,390.0,10197_00000,0_seed=0,[307.74489122256864],[406],46.067,22228.689,[-0.58734703],[2.41265297],700,615424,700,301,33.28928571428572,54.35714285714285,3.8320494,0.007703665,-4.4243975,-37.13194,6.5647815e-05,-0.025983687,0.6613648,0.95825326,-2,-0.029522337,2.2771528,-0.030016063,17.670298,0.018021848,-20.99404,-0.06293825,-0.029846665,0.0,-4.388646,-0.035751488
307.74489122256864,304.28734527113363,306.01611824685114,399.0,1,0,800,False,2,8,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-47-57,1752522477,18.343221426010132,156.64996767044067,1607147,pouyan-XPS-15-9500,192.168.2.18,156.64996767044067,0,8,1.0,0.0,0.0,0.0,0.0,399.0,381.0,10197_00000,0_seed=0,"[304.28734527113363, 307.74489122256864]","[392, 406]",43.463,23560.481,[-1.61417627],[1.38582373],800,717824,800,351,31.726923076923075,54.29615384615384,4.409343,0.011055792,-5.5499563,-32.216972,0.0017539801,-0.00974592,0.6056308,0.9565724,-2,-0.02707257,3.1876056,-0.022083558,21.871527,0.10557769,-25.193275,-0.07417154,-0.030784136,0.0033620377,-5.5202365,-0.02972021
307.74489122256864,304.28734527113363,306.01611824685114,399.0,0,0,900,False,2,9,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-48-15,1752522495,18.236262559890747,174.88623023033142,1607147,pouyan-XPS-15-9500,192.168.2.18,174.88623023033142,0,9,1.0,0.0,0.0,0.0,0.0,399.0,381.0,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363]","[406, 392]",47.167,21710.142,[-1.61417627],[1.38582373],900,820224,900,401,33.833333333333336,54.29999999999999,4.4507446,0.007626536,-4.4280953,-34.967957,0.0003078223,-0.00884411,0.6056308,0.95576537,-2,-0.031590108,2.7101173,-0.028880127,22.337318,0.019683616,-27.747456,-0.07918548,-0.033118322,0.0011468354,-4.394968,-0.033127904
307.74489122256864,304.28734527113363,306.01611824685114,399.0,0,0,1000,False,2,10,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-48-35,1752522515,19.10502576828003,193.99125599861145,1607147,pouyan-XPS-15-9500,192.168.2.18,193.99125599861145,0,10,1.0,0.0,0.0,0.0,0.0,399.0,381.0,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363]","[406, 392]",50.396,20318.923,[-1.61417627],[1.38582373],1000,922624,1000,451,33.548148148148144,54.340740740740735,4.3749223,0.009256318,-5.2778387,-32.90529,0.0013374987,-0.001586366,0.6056308,0.9555187,-2,-0.03155967,3.5631356,-0.03570061,24.029451,0.114179604,-28.121065,-0.07967409,-0.034006983,0.0020513362,-5.2369637,-0.04087592
